CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
fifo 10000 20366.708661417324 35812.597236981936
fifo 10000 20596.206315789474 36801.11967847274
fifo 10000 20112.255780346823 38503.289207544134
fifo 10000 20928.511770726713 42451.52304005065
fifo 10000 20720.87167736022 43140.15538610496
fifo 10000 23111.904825737267 43318.26363447546
fifo 10000 20509.45305164319 41494.77315272068
fifo 10000 20556.153605015676 41669.92358686314
fifo 10000 20608.414418832763 42419.82725505122
fifo 10000 20784.73033707865 43163.05449329439
fifo 10000 20838.712647671993 41628.49874799405
fifo 10000 20879.742179443107 43847.38355292577
fifo 10000 22236.081702392046 42966.10330235428
fifo 10000 23802.388522238165 47297.59982771369
fifo 10000 21436.194774346794 43371.573766669215
fifo 10000 21818.962315947094 43546.693478460234
fifo 10000 21795.572600866195 42660.345809489685
fifo 10000 22158.38221360896 43909.677925875294
fifo 10000 20599.094335558904 42132.508179449665
fifo 10000 21839.095305544313 42354.71861037246
