CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
fifo 10000 20754.04329004329 37120.78239466334
fifo 10000 18857.65943600868 37756.31248053527
fifo 10000 19590.022408963585 37867.02468416328
fifo 10000 19979.539184952977 39886.69084067262
fifo 10000 20860.93366093366 40764.60852001174
fifo 10000 21424.780701754386 41417.81195103813
fifo 10000 21037.70910138249 41770.436803689154
fifo 10000 21193.667848101264 42571.29896614534
fifo 10000 19454.289019963704 39918.33266040786
fifo 10000 21225.13763608087 40659.799882596075
fifo 10000 22520.309802487198 43868.04728961785
fifo 10000 21506.609555189458 44255.08157094637
fifo 10000 23284.75460505776 44785.62484519873
fifo 10000 20270.278565229968 41525.644564657174
fifo 10000 23084.477124183006 47441.02144633459
fifo 10000 22636.175473579264 44854.10495007462
fifo 10000 20561.63921842289 41764.819435001256
fifo 10000 21107.5848675348 42409.60419900262
fifo 10000 20944.858806096527 42468.54898780885
fifo 10000 23879.14207980653 42543.31718688131
