CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
fifo 10000 30493.511825613077 31140.22314758114
fifo 10000 31316.93456858407 32842.012377929685
fifo 10000 33522.14742563568 33428.796896190484
fifo 10000 33622.656933730024 33611.391682457
fifo 10000 32733.72147355164 33685.06827436252
fifo 10000 33190.519074421514 33314.86884725437
fifo 10000 34737.06485598157 34385.39116690143
fifo 10000 33767.08339997243 34345.17460836107
fifo 10000 36613.05083717111 36931.830296174245
fifo 10000 34234.166412409184 34084.41248649274
fifo 10000 35954.27238191094 36930.83677285766
fifo 10000 35673.211448350776 36420.06206893745
fifo 10000 36739.53841126444 37473.49491234569
fifo 10000 34995.31106196736 35338.30593873965
fifo 10000 33412.268823773265 33984.04358360231
fifo 10000 34683.86084319993 35808.88038464008
fifo 10000 35609.03251486303 37023.01297553111
fifo 10000 34146.93174577363 34701.032677574636
fifo 10000 34077.05744958989 34544.72876577302
fifo 10000 35861.08880862504 36380.914407054916
