CacheStrategy WorkloadLength CacheSize AverageHitTime(ns) AverageMissTime(ns)
fifo 50000 10000 10183.156862745098 13409.811587819577
fifo 100000 10000 7352.124352331606 13876.310038374062
fifo 150000 10000 7193.330882352941 14029.051112684334
fifo 200000 10000 6757.986772486773 14171.812726052238
fifo 250000 10000 7721.860670194003 14196.006522793696
fifo 300000 10000 6859.304195804196 14146.765355945336
fifo 350000 10000 6931.421487603306 14193.438924741034
fifo 400000 10000 6610.266066838046 14131.505605903481
fifo 450000 10000 6554.432853717027 13849.463648183522
fifo 500000 10000 7180.151224707135 14215.65122500055
fifo 550000 10000 7236.2009345794395 13892.411524238063
fifo 600000 10000 7259.228198859006 14031.00901510255
fifo 650000 10000 6913.862921348315 13906.946411475878
fifo 700000 10000 7140.555716353111 13816.960340271793
fifo 750000 10000 7173.703010033445 13837.957338962331
fifo 800000 10000 7041.537990196079 13857.758960779991
fifo 850000 10000 7000.627821842587 13848.100207340978
fifo 900000 10000 7236.057158712541 13878.853061351729
fifo 950000 10000 6744.689405684754 13790.067438414033
fifo 1000000 10000 6965.738366080662 13795.98246007779
