CacheStrategy WorkloadLength CacheSize AverageHitTime AverageMissTime
fifo 50000 10000 7255.066666666667 12804.034441995593
fifo 100000 10000 7100.046875 13394.147673533183
fifo 150000 10000 7349.586572438163 13936.168063746936
fifo 200000 10000 7489.23544973545 14135.053370870946
fifo 250000 10000 7016.398357289528 13824.985988706
fifo 300000 10000 7446.040069686411 13969.343333578247
fifo 350000 10000 7361.332857142857 13967.902009733752
fifo 400000 10000 7332.236658932715 14297.518622631771
fifo 450000 10000 7527.119774011299 14186.941380270087
fifo 500000 10000 7178.324777887463 14278.171357169625
fifo 550000 10000 7186.5720601237845 14254.525271057393
fifo 600000 10000 7299.226382978723 14017.841304220765
fifo 650000 10000 7139.948235294118 14177.72844117307
fifo 700000 10000 7068.783458646617 14082.602393118354
fifo 750000 10000 7198.326199740597 14052.564091772685
fifo 800000 10000 6954.0268199233715 13853.516958195669
fifo 850000 10000 7140.431426985008 13819.721565340209
fifo 900000 10000 7112.701193058569 13850.771497379075
fifo 950000 10000 7014.393923240938 13917.933012981424
fifo 1000000 10000 7039.336543335023 13854.406899813332
