CacheStrategy WorkloadLength CacheSize AverageHitTime(ns) AverageMissTime(ns)
fifo 50000 10000 12464.580287344179 12496.171041594711
fifo 100000 10000 12819.157638259292 13228.190390033029
fifo 150000 10000 13194.141326259947 13526.953288149518
fifo 200000 10000 13720.442898272553 13506.462748018315
fifo 250000 10000 13519.793561795077 13549.674304611715
fifo 300000 10000 12757.26961916828 13601.076970543341
fifo 350000 10000 13611.596515601546 13660.26446352887
fifo 400000 10000 13868.99991467334 13786.76594718547
fifo 450000 10000 13752.917186489092 13789.63476517397
fifo 500000 10000 13849.368311830909 13771.989455279085
fifo 550000 10000 13761.432470916141 13814.788272546655
fifo 600000 10000 13687.624136545059 13744.308626274551
fifo 650000 10000 13675.920059703565 13737.83070849945
fifo 700000 10000 13620.746117488183 13807.728885327853
fifo 750000 10000 13595.102180667054 13752.065874506598
fifo 800000 10000 13791.878941422396 13754.720305314951
fifo 850000 10000 13772.808826945413 13811.282645103738
fifo 900000 10000 13761.358377451532 13768.604117524676
fifo 950000 10000 13655.653108287415 13816.536003385589
fifo 1000000 10000 13590.644648807143 13767.533577868726
