CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
lfu 10000 58390.71487603306 1357.6720728325095
lfu 10000 47230.13984461709 1289.6224987134078
lfu 10000 30285.307438016527 908.1440352174205
lfu 10000 30498.079747561675 819.4344915942438
lfu 10000 38318.27710843374 1088.8080543026551
lfu 10000 38512.99103663289 1160.9496930411453
lfu 10000 39702.86824677588 1180.3148551987579
lfu 10000 37599.61706650471 1333.1418502824504
lfu 10000 41268.4913923286 943.9181108108774
lfu 10000 37727.5526008864 996.3853641118953
lfu 10000 40227.60903525438 1008.0218756820103
lfu 10000 41701.61143818335 1466.6472757390247
lfu 10000 38658.09177038826 909.2280206696379
lfu 10000 33679.866529774125 781.712946369404
lfu 10000 35000.34802115046 740.095098008898
lfu 10000 33370.51954887218 807.0180349152329
lfu 10000 41718.894866867966 782.5394107609462
lfu 10000 32979.249117300904 686.3927111804409
lfu 10000 35031.18298534561 645.9388913592327
lfu 10000 32867.08703613281 692.33168718139
