CacheStrategy WorkloadLength CacheSize AverageHitTime AverageMissTime
lfu 50000 10000 28039.938775510203 357.91992304917636
lfu 100000 10000 13830.820512820514 261.4835773565214
lfu 150000 10000 10273.321138211382 237.77622602135003
lfu 200000 10000 8891.289747399704 201.17770798737752
lfu 250000 10000 7230.900201612903 188.8054399858639
lfu 300000 10000 7836.8406537282945 172.9188886399283
lfu 350000 10000 7554.6612903225805 170.4809037733685
lfu 400000 10000 7591.305981595092 160.36862923129402
lfu 450000 10000 7033.503591954023 163.35889016691632
lfu 500000 10000 6740.75329566855 162.47300298751824
lfu 550000 10000 6530.021348314607 163.63503338075955
lfu 600000 10000 6328.43038593063 157.8583534157367
lfu 650000 10000 6085.477333333333 160.4101705905056
lfu 700000 10000 6333.790534618755 161.9152852585142
lfu 750000 10000 6067.4796747967475 154.2515731599647
lfu 800000 10000 6231.463561232156 157.9685929931848
lfu 850000 10000 6380.522878228782 154.15155613780405
lfu 900000 10000 5953.358445945946 150.34915611343976
lfu 950000 10000 5928.341669271647 152.54164391461353
lfu 1000000 10000 6385.684394904459 146.34881227052946
