CacheStrategy WorkloadLength CacheSize AverageHitTime(ns) AverageMissTime(ns)
lfu 50000 10000 41827.213483146064 357.27020095770473
lfu 100000 10000 30111.75647668394 277.4818700091176
lfu 150000 10000 24659.347517730497 224.64691620246063
lfu 200000 10000 23091.717678100264 196.5818476012043
lfu 250000 10000 21296.572 170.7823406813627
lfu 300000 10000 20232.6 162.66942974033563
lfu 350000 10000 20301.29718309859 162.37788943284949
lfu 400000 10000 19108.819557625146 160.90527407607837
lfu 450000 10000 18016.073825503358 155.6653907986088
lfu 500000 10000 18253.36616915423 151.98485555967494
lfu 550000 10000 17737.804214223004 153.71993637733416
lfu 600000 10000 17932.61120543294 158.5702479200831
lfu 650000 10000 17878.672373540856 150.31773429009658
lfu 700000 10000 16645.767976278727 149.1366590758476
lfu 750000 10000 16948.37116764514 152.42090700057585
lfu 800000 10000 16573.697393515577 153.16208494953202
lfu 850000 10000 16334.819514946419 150.56819459885148
lfu 900000 10000 16372.966267682263 150.97020470694596
lfu 950000 10000 16008.335306781486 149.98486830031788
lfu 1000000 10000 16299.036390827518 148.37216055407146
