CacheStrategy WorkloadLength CacheSize AverageHitTime AverageMissTime
lfu 50000 10000 490.57204732727655 365.809567276854
lfu 100000 10000 447.0588201960673 275.35555474603234
lfu 150000 10000 352.81649688737974 225.00690063091483
lfu 200000 10000 348.691220773681 211.90406853302645
lfu 250000 10000 332.5405048493246 171.49334177264876
lfu 300000 10000 343.17294507787466 162.6552467481853
lfu 350000 10000 314.77412658874624 161.89244254833457
lfu 400000 10000 304.99819391905345 166.3570046287028
lfu 450000 10000 280.20865882238064 160.6438713077876
lfu 500000 10000 315.0412530744905 159.0900060646373
lfu 550000 10000 295.2230089389425 163.077125023559
lfu 600000 10000 294.0609793713255 160.14617058779382
lfu 650000 10000 283.82165732238633 161.88635658160956
lfu 700000 10000 286.79797297833977 155.32281602017764
lfu 750000 10000 294.84423634827954 154.85552378857855
lfu 800000 10000 297.785766467795 154.3754028882217
lfu 850000 10000 271.19002045728814 151.19108170285867
lfu 900000 10000 266.90793607088773 151.17488698969734
lfu 950000 10000 255.80294330658478 140.3502048481808
lfu 1000000 10000 252.02976003241508 136.54970809900632
