CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
lru 10000 5124.4157894736845 1263.1894599478017
lru 10000 2815.6348547717844 1475.59016459334
lru 10000 2327.7055393586006 849.6204441646463
lru 10000 2179.3858751279427 767.2364098621767
lru 10000 2761.621448212649 844.9450240851074
lru 10000 2440.606162089752 789.3160662899028
lru 10000 2293.3360655737706 749.0676472614932
lru 10000 2270.3570680628272 793.9732874475621
lru 10000 3306.9072620215898 800.8833472482041
lru 10000 2935.480433940333 756.9036667276481
lru 10000 1943.3798395535403 670.0508249365328
lru 10000 3522.9375431331955 703.6022991046756
lru 10000 2702.326188257223 619.4462468749082
lru 10000 2119.1967871485945 593.9875522961491
lru 10000 1866.8801369863013 717.8473487142926
lru 10000 1914.1402805611222 588.0073102280379
lru 10000 1957.2214139577177 473.8886176813887
lru 10000 2389.092708109271 632.8445950247445
lru 10000 1939.4303851947493 533.4257764031003
lru 10000 1722.8177777777778 523.9113562132557
