CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
lru 10000 337.26933972543037 1075.2863406986428
lru 10000 305.0898230088496 806.67724609375
lru 10000 231.2900007445462 632.4426334681415
lru 10000 189.1589562653045 578.5779374278643
lru 10000 291.19983628578626 674.4436932930083
lru 10000 210.23626094434022 527.172321084105
lru 10000 155.1542920029347 545.0323434450949
lru 10000 1496.5063422032263 473.2715424313678
lru 10000 157.93335634126313 504.90796538523546
lru 10000 206.6982525017603 503.71683330625746
lru 10000 180.2155663216474 441.4439422003196
lru 10000 181.77126734113358 436.5477124209609
lru 10000 155.2582027565895 419.72466671454436
lru 10000 153.32757491466393 389.56560724914465
lru 10000 152.63059020328012 469.62475408364014
lru 10000 183.33590116478481 402.3098871636845
lru 10000 157.70556544997052 356.9448616991923
lru 10000 151.29252237385722 437.09025584570236
lru 10000 165.11281105031176 408.7137744846986
lru 10000 157.3018911990267 374.451272484814
