CacheStrategy WorkloadLength CacheSize AverageHitTime AverageMissTime
lru 50000 10000 2140.151515151515 287.113049224977
lru 100000 10000 2118.316062176166 215.48478563627802
lru 150000 10000 1650.2234432234432 181.5018199790285
lru 200000 10000 903.6525198938992 182.29385892407188
lru 250000 10000 1057.6230088495574 164.0652675045603
lru 300000 10000 793.2521891418564 154.9986841621887
lru 350000 10000 836.4924346629987 146.2157195088083
lru 400000 10000 604.130659767141 144.40079954512095
lru 450000 10000 612.3357400722022 137.5500869383239
lru 500000 10000 576.9680511182108 131.5682672058125
lru 550000 10000 523.1551401869159 139.983885012661
lru 600000 10000 584.1142857142858 130.40111060081
lru 650000 10000 456.6063110443276 130.8316814893266
lru 700000 10000 457.6941431670282 127.67524981499162
lru 750000 10000 424.206572769953 127.64511715957991
lru 800000 10000 434.38071995118975 127.88540271882019
lru 850000 10000 425.70774862721174 124.48200471261644
lru 900000 10000 414.5196458218041 121.52915687385673
lru 950000 10000 420.76696012428795 125.23133126386371
lru 1000000 10000 396.7900466562986 126.8790206307968
