CacheStrategy WorkloadLength CacheSize AverageHitTime(ns) AverageMissTime(ns)
lru 50000 10000 1815.611111111111 287.50468843919055
lru 100000 10000 1271.8638743455497 221.22913765291707
lru 150000 10000 1145.1024734982332 173.37367166053286
lru 200000 10000 1005.8390501319261 178.1863431202128
lru 250000 10000 804.2418032786885 156.4512809003174
lru 300000 10000 782.6062717770035 156.55632443408388
lru 350000 10000 679.1226818830243 149.09102516754987
lru 400000 10000 612.9418604651163 140.31117402415194
lru 450000 10000 538.3593220338983 132.48227068790845
lru 500000 10000 536.801775147929 133.53608317668233
lru 550000 10000 484.57345132743365 132.46463096908192
lru 600000 10000 598.3517417162277 133.6975516972461
lru 650000 10000 462.91137254901963 132.2745631816255
lru 700000 10000 488.8887218045113 128.89474143730232
lru 750000 10000 525.1550940947436 127.23278095393334
lru 800000 10000 422.64135290363754 128.47991002375903
lru 850000 10000 410.62798445308164 124.55435693746396
lru 900000 10000 408.7441734417344 127.69278019940879
lru 950000 10000 422.6234666666667 126.00729334212261
lru 1000000 10000 400.5161943319838 126.4037317739854
