CacheStrategy WorkloadLength CacheSize AverageHitTime(ns) AverageMissTime(ns)
lru 50000 10000 168.9142193112191 321.5084620318745
lru 100000 10000 118.72926110607435 224.0517898775986
lru 150000 10000 104.46569286270072 191.93665281041027
lru 200000 10000 90.40011196417146 185.36040815321746
lru 250000 10000 86.22857946919514 167.8972061666487
lru 300000 10000 91.35708296845597 151.64335096557855
lru 350000 10000 75.43351271937529 144.3282772923561
lru 400000 10000 66.51730709064536 151.45217512633386
lru 450000 10000 67.99271222441953 148.207959096071
lru 500000 10000 60.58415776355231 136.68111178767847
lru 550000 10000 63.016117142135826 133.1107378457786
lru 600000 10000 59.171605099828014 136.6346325474224
lru 650000 10000 57.51399736193551 130.4940441016972
lru 700000 10000 63.01023950430949 128.449450023079
lru 750000 10000 55.7332961197494 126.53029328059506
lru 800000 10000 59.242998430566075 125.60162134147838
lru 850000 10000 56.20529232992857 128.76650921339066
lru 900000 10000 54.61830083356279 125.94610404699245
lru 950000 10000 56.74453612070364 123.48576173251763
lru 1000000 10000 58.13144819056149 122.20279458610486
