CacheStrategy WorkloadlLength Hits
random_replacement 50000 16619
random_replacement 100000 6748
random_replacement 150000 2719
random_replacement 200000 1259
random_replacement 250000 805
random_replacement 300000 711
random_replacement 350000 740
random_replacement 400000 836
random_replacement 450000 870
random_replacement 500000 954
random_replacement 550000 1059
random_replacement 600000 1255
random_replacement 650000 1286
random_replacement 700000 1426
random_replacement 750000 1499
random_replacement 800000 1661
random_replacement 850000 1656
random_replacement 900000 1812
random_replacement 950000 1894
random_replacement 1000000 1991
