CacheStrategy WorkloadLength Hits
random_replacement 50000 84
random_replacement 100000 211
random_replacement 150000 275
random_replacement 200000 402
random_replacement 250000 489
random_replacement 300000 591
random_replacement 350000 717
random_replacement 400000 812
random_replacement 450000 875
random_replacement 500000 1009
random_replacement 550000 1086
random_replacement 600000 1134
random_replacement 650000 1244
random_replacement 700000 1341
random_replacement 750000 1583
random_replacement 800000 1554
random_replacement 850000 1750
random_replacement 900000 1829
random_replacement 950000 1808
random_replacement 1000000 2031
