CacheStrategy WorkloadlLength Hits
random_replacement 50000 9473
random_replacement 100000 17629
random_replacement 150000 28282
random_replacement 200000 37507
random_replacement 250000 46173
random_replacement 300000 53646
random_replacement 350000 62637
random_replacement 400000 70314
random_replacement 450000 81925
random_replacement 500000 91080
random_replacement 550000 99018
random_replacement 600000 106992
random_replacement 650000 115198
random_replacement 700000 125901
random_replacement 750000 136084
random_replacement 800000 147762
random_replacement 850000 154998
random_replacement 900000 159750
random_replacement 950000 172562
random_replacement 1000000 187585
