CacheStrategy WorkloadLength Hits
random_replacement 50000 16734
random_replacement 100000 7025
random_replacement 150000 3236
random_replacement 200000 1820
random_replacement 250000 1409
random_replacement 300000 1588
random_replacement 350000 1738
random_replacement 400000 1917
random_replacement 450000 2070
random_replacement 500000 2531
random_replacement 550000 2826
random_replacement 600000 2880
random_replacement 650000 3306
random_replacement 700000 3444
random_replacement 750000 3654
random_replacement 800000 3928
random_replacement 850000 4425
random_replacement 900000 4628
random_replacement 950000 4586
random_replacement 1000000 4962
