CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
random_replacement 10000 9847.281078828293 24458.887453318875
random_replacement 10000 9381.311719298246 27293.48924899058
random_replacement 10000 10480.478164556962 29134.375558430944
random_replacement 10000 10567.461744248261 31114.5835886358
random_replacement 10000 10971.197763801538 31585.83356733945
random_replacement 10000 10620.325780771585 32453.00315048246
random_replacement 10000 11230.230083234244 31668.216445891398
random_replacement 10000 10791.541644562334 31709.292166836214
random_replacement 10000 10405.948894348894 30826.54801379572
random_replacement 10000 10794.23984063745 32141.013449516573
random_replacement 10000 11753.362081005587 35534.03827933092
random_replacement 10000 11027.030323914541 32763.839955920135
random_replacement 10000 10675.051856397668 32755.89902603979
random_replacement 10000 11026.965229885058 32187.668138746914
random_replacement 10000 11360.403350172826 33593.446103728165
random_replacement 10000 11960.498750624687 33396.91415933206
random_replacement 10000 12188.286265607265 33072.44395248316
random_replacement 10000 10977.758270270271 32668.35452743264
random_replacement 10000 11983.965038002172 32854.67288593657
random_replacement 10000 11763.421414141414 36082.354902768704
