CacheStrategy WorkloadLength Hits
random_replacement 50000 222
random_replacement 100000 467
random_replacement 150000 716
random_replacement 200000 965
random_replacement 250000 1222
random_replacement 300000 1426
random_replacement 350000 1689
random_replacement 400000 1942
random_replacement 450000 2185
random_replacement 500000 2516
random_replacement 550000 2775
random_replacement 600000 2995
random_replacement 650000 3192
random_replacement 700000 3470
random_replacement 750000 3689
random_replacement 800000 3970
random_replacement 850000 4252
random_replacement 900000 4536
random_replacement 950000 4797
random_replacement 1000000 4962
