CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
random_replacement 10000 9709.298642533937 24333.97211675606
random_replacement 10000 9675.143162393162 26635.555087810957
random_replacement 10000 9996.215577190542 27153.086655368064
random_replacement 10000 9605.561844863732 29403.332701988485
random_replacement 10000 9885.443729903536 30493.06646673849
random_replacement 10000 10614.30965147453 30365.458208825225
random_replacement 10000 10886.76361529548 31825.764303393305
random_replacement 10000 11219.753968253968 33120.61973596929
random_replacement 10000 11457.54948499776 32703.672164317602
random_replacement 10000 11536.456 31177.0787718593
random_replacement 10000 11311.435943702634 36263.15126756806
random_replacement 10000 12905.643944407677 35763.72354425121
random_replacement 10000 11062.744430299172 33359.182843838986
random_replacement 10000 12295.645881670534 35292.56103349068
random_replacement 10000 11704.331149331148 34252.20430850943
random_replacement 10000 10534.122740963856 33269.27744542823
random_replacement 10000 11481.9553379508 32378.89293141628
random_replacement 10000 11087.676503465236 33546.24817677189
random_replacement 10000 10915.195050335571 32994.03458939181
random_replacement 10000 11263.028932355339 33389.576658238635
