CacheStrategy WorkloadLength Hits
random_replacement 50000 9181
random_replacement 100000 18092
random_replacement 150000 26857
random_replacement 200000 37948
random_replacement 250000 47640
random_replacement 300000 51164
random_replacement 350000 68177
random_replacement 400000 72561
random_replacement 450000 83993
random_replacement 500000 93703
random_replacement 550000 101328
random_replacement 600000 108690
random_replacement 650000 120878
random_replacement 700000 129745
random_replacement 750000 137511
random_replacement 800000 145886
random_replacement 850000 157800
random_replacement 900000 166036
random_replacement 950000 172865
random_replacement 1000000 184138
