CacheStrategy WorkloadLength CacheSize AverageHitTime(ns) AverageMissTime(ns)
random_replacement 50000 10000 4814.176470588235 11455.359270760293
random_replacement 100000 10000 3646.8102564102564 11172.504543860528
random_replacement 150000 10000 4053.630996309963 11735.845046717737
random_replacement 200000 10000 3951.368286445013 11440.874143951425
random_replacement 250000 10000 3950.5437881873727 11746.490940206566
random_replacement 300000 10000 3811.1892797319933 11756.913517900623
random_replacement 350000 10000 3962.083936324168 11838.490703073783
random_replacement 400000 10000 4261.625146886016 12439.375436240602
random_replacement 450000 10000 3848.901472253681 11548.402912826725
random_replacement 500000 10000 3763.623260437376 11601.57903702249
random_replacement 550000 10000 3751.671721677074 11736.980961195455
random_replacement 600000 10000 3843.43949044586 11928.005638469864
random_replacement 650000 10000 4003.4944267515925 11884.94924654409
random_replacement 700000 10000 3859.7410979228484 11819.36158344927
random_replacement 750000 10000 3698.190981432361 11728.55304665915
random_replacement 800000 10000 3901.879037365421 11875.605884614759
random_replacement 850000 10000 3796.808848553602 11930.716275050487
random_replacement 900000 10000 3750.5189535504537 11623.787220515584
random_replacement 950000 10000 3829.569063631661 11748.024562610026
random_replacement 1000000 10000 3744.393756294058 11925.17320097714
