CacheStrategy WorkloadLength Hits
second_chance 50000 57
second_chance 100000 193
second_chance 150000 272
second_chance 200000 378
second_chance 250000 566
second_chance 300000 571
second_chance 350000 727
second_chance 400000 778
second_chance 450000 830
second_chance 500000 938
second_chance 550000 1070
second_chance 600000 1225
second_chance 650000 1334
second_chance 700000 1382
second_chance 750000 1493
second_chance 800000 1636
second_chance 850000 1640
second_chance 900000 1805
second_chance 950000 1933
second_chance 1000000 1930
