CacheStrategy WorkloadlLength Hits
second_chance 50000 90
second_chance 100000 191
second_chance 150000 283
second_chance 200000 379
second_chance 250000 487
second_chance 300000 574
second_chance 350000 701
second_chance 400000 862
second_chance 450000 884
second_chance 500000 1013
second_chance 550000 1131
second_chance 600000 1175
second_chance 650000 1276
second_chance 700000 1330
second_chance 750000 1541
second_chance 800000 1566
second_chance 850000 1800
second_chance 900000 1845
second_chance 950000 1875
second_chance 1000000 1973
