CacheStrategy WorkloadlLength Hits
second_chance 50000 9466
second_chance 100000 17648
second_chance 150000 28274
second_chance 200000 37512
second_chance 250000 46193
second_chance 300000 53672
second_chance 350000 62621
second_chance 400000 70318
second_chance 450000 81920
second_chance 500000 91074
second_chance 550000 99024
second_chance 600000 106984
second_chance 650000 115236
second_chance 700000 125885
second_chance 750000 136151
second_chance 800000 147822
second_chance 850000 154979
second_chance 900000 159796
second_chance 950000 172586
second_chance 1000000 187576
