CacheStrategy WorkloadLength Hits
second_chance 50000 146
second_chance 100000 477
second_chance 150000 690
second_chance 200000 977
second_chance 250000 1090
second_chance 300000 1492
second_chance 350000 1706
second_chance 400000 1912
second_chance 450000 2035
second_chance 500000 2581
second_chance 550000 2876
second_chance 600000 2900
second_chance 650000 3220
second_chance 700000 3485
second_chance 750000 3790
second_chance 800000 4003
second_chance 850000 4393
second_chance 900000 4645
second_chance 950000 4642
second_chance 1000000 4949
