CacheStrategy WorkloadLength Hits
second_chance 50000 231
second_chance 100000 461
second_chance 150000 715
second_chance 200000 957
second_chance 250000 1220
second_chance 300000 1479
second_chance 350000 1735
second_chance 400000 1977
second_chance 450000 2205
second_chance 500000 2572
second_chance 550000 2734
second_chance 600000 3034
second_chance 650000 3207
second_chance 700000 3456
second_chance 750000 3665
second_chance 800000 4014
second_chance 850000 4301
second_chance 900000 4460
second_chance 950000 4725
second_chance 1000000 4962
