CacheStrategy WorkloadLength Hits
second_chance 50000 9177
second_chance 100000 18080
second_chance 150000 26862
second_chance 200000 37979
second_chance 250000 47642
second_chance 300000 51169
second_chance 350000 68151
second_chance 400000 72532
second_chance 450000 84031
second_chance 500000 93736
second_chance 550000 101345
second_chance 600000 108626
second_chance 650000 120875
second_chance 700000 129781
second_chance 750000 137500
second_chance 800000 145780
second_chance 850000 157778
second_chance 900000 166041
second_chance 950000 172882
second_chance 1000000 184113
